mun_id,norm_percent_change,ingov11,ingov13,gov_change,mun
70939,15.2393415335,0.0,0.0,3unaligned both years,Pirot
70327,15.0894720571,1.0,1.0,2aligned both years,Bor
71056,14.6294473364,1.0,0.0,4stopped being aligned,Svilajnac
70840,14.3961274204,1.0,1.0,2aligned both years,Negotin
70033,14.2008709147,1.0,1.0,2aligned both years,Arandjelovac
80446,13.7474249872,0.0,0.0,3unaligned both years,Temerin
80403,13.7298387613,0.0,0.0,3unaligned both years,Sremska Mitrovica
80063,12.7660860383,0.0,1.0,1became aligned,Backa Palanka
70742,12.5209519856,1.0,0.0,4stopped being aligned,Lucani
71153,11.6876647976,0.0,0.0,3unaligned both years,Topola
70670,10.0351729406,1.0,1.0,2aligned both years,Krusevac
80357,9.38450861211,1.0,0.0,4stopped being aligned,Ruma
80128,6.51331764644,1.0,0.0,4stopped being aligned,Vrsac
80268,6.46313897285,1.0,0.0,4stopped being aligned,Novi Becej
71269,6.10900640781,1.0,0.0,4stopped being aligned,sabac
80322,5.92137589585,1.0,1.0,2aligned both years,Pecinci
80381,4.81196129169,1.0,0.0,4stopped being aligned, Sombor
80233,4.53475392669,1.0,1.0,2aligned both years,Kula
71099,2.58500784098,1.0,1.0,2aligned both years,Smederevo
70076,2.18047062294,1.0,0.0,4stopped being aligned,Batocina
70629,0.656160797428,1.0,1.0,2aligned both years,Kosjeric
80110,-1.75540339405,0.0,1.0,1became aligned,Becej
80373,-2.35020640622,0.0,0.0,3unaligned both years,Secanj
80209,-2.58132591249,1.0,0.0,4stopped being aligned,Kikinda
70041,-5.88702370464,1.0,1.0,2aligned both years,Arilje
80101,-6.33963888276,1.0,0.0,4stopped being aligned, Beocin
79022,-9.80613325771,1.0,1.0,2aligned both years,Grad Nis
80144,-10.4474478812,1.0,1.0,2aligned both years,zitiste
80365,-11.3218620847,1.0,0.0,4stopped being aligned,Senta
70645,-11.4103184795,0.0,1.0,1became aligned,Kragujevac - grad
71242,-12.2464142931,0.0,0.0,3unaligned both years,cacak
80012,-12.9358296988,1.0,0.0,4stopped being aligned,Ada
80195,-21.0487189243,0.0,0.0,3unaligned both years,Kanjiza
80314,-21.1623793452,1.0,1.0,2aligned both years,Pancevo
79049,-24.4497732398,,,,Grad Pozarevac
80152,-25.5687025535,1.0,1.0,2aligned both years,Zrenjanin
80438,-27.258718801,1.0,0.0,4stopped being aligned,Subotica
80179,-27.2776285113,1.0,0.0,4stopped being aligned,Indjija
71145,-32.1328619207,1.0,1.0,2aligned both years,Uzice
89010,-39.8424224193,,,,Novi Sad-grad 
71048,-45.7203302978,0.0,1.0,1became aligned,Jagodina
70564,-46.0801524639,0.0,0.0,3unaligned both years,Ivanjica
70653,-67.9335322305,1.0,1.0,2aligned both years,Kraljevo
79014,-91.8322942208,1.0,0.0,4stopped being aligned,Grad Beograd
70297,-100.0,1.0,1.0,2aligned both years,Bojnik
