idOpstina,NazivOpstineLat,Godina,OznakaOP,Opis,IznosUkupno
70262,Blace,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),215281
70262,Blace,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),334219
70262,Blace,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),319254
70289,Bogatic,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),617980
70289,Bogatic,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),199590
70289,Bogatic,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),613326
70297,Bojnik,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),182456
70297,Bojnik,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),300482
70297,Bojnik,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),305719
70319,Boljevac,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),389220
70319,Boljevac,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),263035
70319,Boljevac,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),418019
70327,Bor,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1335937
70327,Bor,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1735352
70327,Bor,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1887316
70335,Bosilegrad,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),393735
70335,Bosilegrad,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),195635
70335,Bosilegrad,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),394516
70343,Brus,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),313785
70343,Brus,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),432262
70343,Brus,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),418584
70351,Bujanovac,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),935649
70351,Bujanovac,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),684568
70351,Bujanovac,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),982051
71242,cacak,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2468246
71242,cacak,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2934761
71242,cacak,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),3102387
71234,cajetina,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),892697
71234,cajetina,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),830661
71234,cajetina,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1215685
71196,cicevac,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),156280
71196,cicevac,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),255123
71196,cicevac,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),235767
80489,coka,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),326611
80489,coka,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),413352
80489,coka,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),391982
71226,Crna Trava,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),60240
71226,Crna Trava,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),123368
71226,Crna Trava,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),126778
71200,cuprija,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),707161
71200,cuprija,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),460689
71200,cuprija,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),726724
70491,Despotovac,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),546481
70491,Despotovac,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),648215
70491,Despotovac,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),667826
