,,"Novo Postavljanje Predsednika Opstine? (neovisno od toga da li je nova osoba, cisto da li se glasalo",Isti predsednik kao pre?,Promena Partije iz Koje je Predsednik? Neovisno od promene samog predsednika,Ime Novog Predsednika,MB Partije,Ime Partije Novog Predsednika,MB Prethodne Partijske Pripadnosti Predsednika,Ime Prethodne Partijske Pripadnosti Predsednika ,Datum Dogadjaja
,,"0 - ne, 1 - da",,"0 - ne, 1 - da",bez latinicnih/ cirilicnih slova,vidite sifarnik,,,,Dan/Mesec/Godina
mun_id,mun,appointment,same_person,party_change,pres_name,party_id,party_abr,prior_party_id,prior_party_name,date
70394,Veliko Gradiste,1,0,1,Dragan Milic,44,GGDM,,,10-Oct-2010
70408,Vladimirci,1,0,1,Milinkovic Milorad,1,SNS,,,17-Jun-2015
70408,Vladimirci,1,0,1,Dragan Simeunovic,3,SPS,,,17-Mar-2015
70408,Vladimirci,1,1,0,Vladica Markovic,2,DS,,,3-Jul-2012
70408,Vladimirci,1,0,1,Vladica Markovic,2,DS,,,17-Jun-2010
70416,Vladicin Han,1,0,0,Branislav Tosic,1,SNS,1,SNS,11-Nov-2014
70416,Vladicin Han,1,0,1,Goran Mladenovic,1,SNS,2,DS,4-Jul-2012
70416,Vladicin Han,1,,,Nenad Mitrovic,2,DS,,,8-Jul-2008
70424,Vlasotince,1,0,1,Zoran Todorovic,1,SNS,,,28-Sep-2015
70424,Vlasotince,1,0,1,Miroslav Ljubenovic,11,PS,,,30-Nov-2014
70424,Vlasotince,1,0,1,Zoran Todorovic,1,SNS,,,29-Dec-2013
70424,Vlasotince,1,0,1,Nebojsa Stojanovic,3,SPS,,,6-Jun-2012
70424,Vlasotince,1,,,Srdjan Susilic,2,DS,,,1-Jun-2008
70432,Vranje,1,0,0,Zoran Antic,3,SPS,3,SPS,1-Jul-2012
70432,Vranje,1,1,0,Miroljub Stojcic,3,SPS,3,SPS,2-Jun-2008
70459,Vrnjacka Banja,1,0,1,Boban Djurovic,1,SNS,2,SNS,21-Aug-2012
70459,Vrnjacka Banja,1,,,Zoran Seizovic,2,DS,,,14-May-2008
70467,Gadzin Han,1,1,0,Sasa Djordjevic,3,SPS,3,SPS,8-May-2012
70467,Gadzin Han,1,1,,Sasa Djordjevic,3,SPS,,,25-May-2008
70475,Golubac,1,0,1,Nebojsa Mijovic,1,SNS,2,DS,25-Oct-2014
70475,Golubac,1,1,0,Zoran Pajkic,2,DS,2,DS,6-Jun-2010
70483,Gornji Milanovac,1,0,1,Milisav Mirkovic,2,DS,3,SPS,6-May-2012
70483,Gornji Milanovac,1,1,0,Drazimir Marusic,3,SPS,3,SPS,5-May-2008
70491,Despotovac,1,0,1,Dejan Nenadovic,3,SPS,2,DS,10-Jan-2013
70491,Despotovac,1,1,0,Malisa Alimpijevic,2,DS,2,DS,21-May-2012
70491,Despotovac,1,0,,Malisa Alimpijevic,2,DS,,,1-Jun-2010
70505,Dimitrovgrad,1,0,1,Zoran Djurov,1,SNS,,,27-Jan-2015
70505,Dimitrovgrad,1,0,1,Nebojsa Ivanov,42,DPB,,,24-Apr-2013
70505,Dimitrovgrad,1,1,0,Vladica Dimitrov,2,DS,,,20-May-2012
70505,Dimitrovgrad,1,0,0,Vladica Dimitrov,2,DS,,,15-Dec-2011
70513,Doljevac,0,1,1,Goran Ljubic,1,SNS,26,PZJ,13-Feb-2016
70513,Doljevac,1,1,0,Goran Ljubic,26,PZJ,26,PZJ,10-May-2012
70513,Doljevac,1,1,,Goran Ljubic,26,PZJ,,,17-May-2008
70521,Zabari,1,1,0,Miodrag Filipovic,3,SPS,3,SPS,5-Jun-2014
70521,Zabari,1,1,0,Miodrag Filipovic,3,SPS,3,SPS,17-May-2012
70521,Zabari,1,,,Miodrag Filipovic,3,SPS,,,1-Jul-2008
70530,zagubica,1,0,0,Safet Pavlovic,3,SPS,3,SPS,28-Mar-2013
70530,zagubica,1,0,1,Sasa Ognjanovic,3,SPS,4,URS,7-Jun-2012
70530,zagubica,1,,,Dragi Damnjanovic,4,URS,,,3-Jul-2008
70548,Zitoradja,0,0,0,Sinisa Ilic ,1,SNS,1,SNS,5-Jun-2015
70548,Zitoradja,1,0,1,Sladjan Mladenovic,1,SNS,19,SDS,2-Jan-2015
70548,Zitoradja,1,0,1,Goran Stojkovic,19,SDS,2,DS,1-Jun-2014
70548,Zitoradja,1,0,1,Miodrag Petrovic,2,DS,3,SPS,9-Mar-2011
70556,Zajecar,1,0,1,Velimir Ognjanovic,1,SNS,4,URS,5-Aug-2013
70556,Zajecar,1,1,1,Bosko Nicic,4,URS,4,URS,10-Jul-2012
70556,Zajecar,1,0,1,Bosko Nicic,4,URS,2,DS,1-May-2008
70564,Ivanjica,1,0,1,Milomir Zoric,9,GGMZ,10,GGZI,27-Jul-2012
70564,Ivanjica,1,0,0,Radomir Ristic,10,GGZI,10,GGZI,12-May-2009
70572,Kladovo,0,0,1,Dragan Budujkic,1,SNS,3,SPS,29-May-2015
70572,Kladovo,1,0,1,Radovan Arezina,3,SPS,2,DS,16-Apr-2008
70599,Knic,1,0,1,Ljubomir Djurdjevic,13,JS,3,SPS,4-Mar-2014
70599,Knic,1,0,1,Dragana Jovanovic,3,SPS,2,DS,7-May-2012
70599,Knic,1,,,Borislav Busarac,2,DS,,,5-May-2008
70688,Kursumlija,1,1,1,Radoljub Vidic,1,SNS,7,DSS,17-Jul-2012
70688,Kursumlija,1,0,1,Goran Bojovic,15,NS,2,DS,1-Aug-2009
70602,Knjazevac,0,1,1,Milan Djokic,-1,Nejasna,4,URS,2-Jun-2014
70602,Knjazevac,1,0,1,Milan Djokic,4,URS,2,DS,14-Jul-2012
70602,Knjazevac,1,,,Mladen Radosavljevic,2,DS,,,20-May-2008
70629,Kosjeric,1,0,1,Milan Stojanic,1,SNS,,,24-Oct-2012
70629,Kosjeric,1,0,1,Dragan Vujadinovic,2,DS,,,10-Nov-2009
70637,Koceljeva,1,0,0,Dusan Ilincic,1,SNS,1,SNS,9-Oct-2014
70637,Koceljeva,0,1,1,Veroljub Matic,1,SNS,8,GGVM,24-Jun-2013
70637,Koceljeva,1,1,1,Veroljub Matic,8,GGVM,8,GGVM,1-Jun-2012
70637,Koceljeva,1,,,Veroljub Matic,8,GGzVM,,,11-May-2008
70645,Kragujevac - grad,1,0,1,Radomir Nikolic,1,SNS,,,28-Oct-2014
70645,Kragujevac - grad,1,1,0,Veroljub Stevanovic,4,URS,,,22-May-2012
70645,Kragujevac - grad,1,0,1,Veroljub Stevanovic,41,ZzKG,,,28-Apr-2008
70653,Kraljevo,0,1,1,Tomislav Ilic,1,SNS,15,NS,5-Jan-2016
70653,Kraljevo,1,0,1,Tomislav Ilic,15,NS,1,SNS,20-Jun-2014
70653,Kraljevo,1,0,1,Dragan Jovanovic,1,SNS,2,DS,27-Jul-2012
70653,Kraljevo,1,1,0,Ljubisa Simovic,2,DS,2,DS,20-Jul-2010
70661,Krupanj,1,0,1,Rade Grujic,3,SPS,,,8-Mar-2013
70661,Krupanj,1,0,1,Nenad Vasiljevic,2,DS,,,22-Jun-2012
70661,Krupanj,1,,,Savo Doric,15,NS,,,1-Jun-2008
70670,Krusevac,1,0,1,Dragi Nestorovic,1,SNS,,,30-Apr-2014
70670,Krusevac,1,0,0,Bratislav Gasic,1,SNS,,,20-Jun-2012
70670,Krusevac,1,0,1,Dragan Jovanovic,2,DS,,,5-May-2008
70696,Kucevo,1,0,0,Novica Janosevic,1,SNS,1,SNS,28-Apr-2014
70696,Kucevo,1,1,0,Zoran Milekic,1,SNS,1,SNS,15-Jul-2012
70696,Kucevo,1,1,,Zoran Milekic,1,SNS,,,18-May-2008
70700,Lajkovac,0,1,1,Zivorad Bojicic,11,PS,3,SPS,5-Oct-2015
70700,Lajkovac,1,0,1,Zivorad Bojicic,3,SPS,7,DSS,1-Aug-2012
70700,Lajkovac,1,1,0,Dusan Zivanovic,7,DSS,7,DSS,5-Jun-2008
70718,Lebane,1,0,1,Goran Janjic,1,SNS,,,24-Dec-2013
70718,Lebane,1,0,1,Zoran Lilic,4,URS,,,1-Feb-2013
70718,Lebane,1,1,0,Mica Stankovic,2,DS,,,6-May-2012
70718,Lebane,1,1,0,Mica Stankovic,2,DS,,,21-May-2008
70726,Leskovac,1,0,1,Goran Cvetanovic,1,SNS,2,DS,1-Nov-2012
70726,Leskovac,1,0,1,Slobodan Kocic,2,DS,17,SRS,5-Mar-2009
71056,Svilajnac,0,1,1,Predrag Milanovic,19,SDS,2,DS,18-Jul-2014
71056,Svilajnac,1,0,1,Predrag Milanovic,2,DS,4,URS,26-May-2012
71056,Svilajnac,1,,,Gorica Dimcic-Tasic,4,URS,,,25-May-2008
70734,Loznica,1,1,1,Vidoje Petrovic,1,SNS,29,PzLP,8-Jun-2015
70734,Loznica,1,1,1,Vidoje Petrovic,29,PzLP,4,URS,29-May-2014
70734,Loznica,1,1,1,Vidoje Petrovic,4,URS,4,URS,10-May-2012
70734,Loznica,1,1,,Vidoje Petrovic,4,URS,,,3-Jul-2008
70742,Lucani,1,0,1,Vesna Stambolic,1,SNS,,,26-Feb-2015
70742,Lucani,1,0,1,Mladomir Sretenovic,2,DS,,,20-May-2012
70742,Lucani,1,,,Slobodan Jolovic,3,SPS,,,1-Jun-2008
70769,Ljig,1,0,1,Dragan Lazarevic,1,SNS,3,SPS,28-Apr-2014
70769,Ljig,1,0,1,Miodrag Starcevic,3,SPS,15,NS,21-Jun-2012
70769,Ljig,1,,,Miroslav Maksimovic,15,NS,,,30-May-2008
70777,Ljubovija,1,0,0,Miroslav Micic,3,SPS,3,SPS,30-Apr-2013
70777,Ljubovija,1,0,0,Milovan Kovacevic,3,SPS,3,SPS,15-Apr-2013
70777,Ljubovija,1,0,0,Miroslav Micic,3,SPS,3,SPS,18-Jul-2012
70777,Ljubovija,1,,,Milovan Kovacevic,3,SPS,,,22-May-2008
70785,Majdanpek,1,1,0,Dejan Vagner,1,SNS,,,7-Nov-2014
70785,Majdanpek,1,0,1,Dejan Vagner,1,SNS,,,19-Jul-2013
70785,Majdanpek,1,1,0,Dragan Popovic,2,DS,,,8-May-2012
70785,Majdanpek,1,,,Dragan Popovic,2,DS,,,1-Jun-2008
70793,Mali Zvornik,1,0,1,Zoran Jevtic,1,SNS,3,SPS,28-Nov-2014
70793,Mali Zvornik,1,0,1,Miodrag Lazic,3,SPS,2,DS,20-Oct-2010
70807,Malo Crnice,1,0,1,Dragan Mitic,3,SPS,,,10-Dec-2012
70807,Malo Crnice,1,1,0,Esidol Peric,2,DS,,,7-Jun-2012
70807,Malo Crnice,1,1,0,Esidol Peric,2,DS,,,1-Jul-2008
70815,Medvedja,1,0,1,Nebojsa Arsic,1,SNS,35,GGGJ,12-Nov-2015
70815,Medvedja,1,1,0,Slobodan Draskovic,35,GGGJ,3,SPS,1-Dec-2010
70823,Merosina,1,0,1,Bojan Nesic,1,SNS,,,7-Nov-2013
70823,Merosina,1,0,1,Sanja Stajic,4,URS,,,25-Dec-2012
70823,Merosina,1,1,0,Slobodan Todorovic,3,SPS,,,1-Jun-2012
70823,Merosina,1,,,Slobodan Todorovic,3,SPS,,,23-May-2008
70831,Mionica,1,0,1,Boban Jankovic,1,SNS,3,SPS,22-Jan-2015
70831,Mionica,1,0,1,Dragan Gavrilovic,3,SPS,15,NS,13-Jun-2012
70831,Mionica,1,,,Milan Matic,15,NS,,,8-Jul-2008
70840,Negotin,1,0,1,Jovan Milovanovic,1,SNS,3,SPS,15-May-2014
70840,Negotin,1,0,1,Milan Urkovic,3,SPS,2,DS,21-Sep-2012
70840,Negotin,1,,,Vlajko Djordjevic,2,DS,,,11-May-2010
70866,Nova Varos,0,0,0,Ivan Mladenovic,1,SNS,,,29-Feb-2016
70866,Nova Varos,1,0,1,Dimitrije Paunovic,1,SNS,,,5-Jul-2012
70866,Nova Varos,1,,,Slavisa Puric,2,DS,,,22-May-2008
70874,Novi Pazar,1,0,0,Dr.Meho Mahmutovic,31,SDPS,32,SDA,14-Sep-2009
70882,Osecina,0,1,1,Nenad Stevanovic,1,SNS,4,URS,18-Aug-2015
70882,Osecina,1,1,1,Nenad Stevanovic,4,URS,37,G17+,29-May-2012
70882,Osecina,1,0,,Nenad Stevanovic,37,G17+,,,6-May-2008
70904,Paracin,1,1,0,Sasa Paunovic,2,DS,2,DS,29-May-2012
70904,Paracin,1,1,,Sasa Paunovic,2,DS,,,20-May-2008
70912,Petrovac,1,1,0,Radisa Dragojevic,3,SPS,,,15-May-2012
70912,Petrovac,1,1,0,Radisa Dragojevic,3,SPS,,,15-May-2008
70939,Pirot,1,1,0,Vladan Vasic,30,KzP,30,KzP,1-Jun-2012
70939,Pirot,1,1,,Vladan Vasic,30,KzP,,,27-May-2008
70947,Grad Pozarevac,1,0,1,Miomir Ilic,3,SPS,2,DS,1-Feb-2013
70947,Grad Pozarevac,1,0,1,Miodrag Milosavljevic,2,DS,7,DSS,24-Jun-2011
70955,Pozega,1,0,1,Milan Bozic,1,SNS,2,DS,22-Oct-2015
70955,Pozega,1,1,0,Milovan Micovic,2,DS,2,DS,10-May-2012
70955,Pozega,1,0,,Milovan Micovic,2,DS,,,25-May-2008
70963,Presevo,1,1,0,Ragmi Mustafa,18,DPA,18,DPA,7-May-2012
70963,Presevo,1,1,,Ragmi Mustafa,18,DPA,,,22-May-2008
70971,Priboj,1,1,0,Lazar Rvovic,1,SNS,,,2-Jul-2012
70971,Priboj,0,1,1,Lazar Rvovic,1,SNS,,,21-Oct-2008
70971,Priboj,1,0,0,Lazar Rvovic,17,SRS,,,22-Jul-2008
70980,Prijepolje,0,0,1,Emir Hasimbegovic,27,SDzP,1,SNS,7-Jan-2012
70980,Prijepolje,1,0,1,Dragoljub Zindovic,1,SNS,2,DS,4-Apr-2010
70998,Prokuplje,1,0,0,Miroljub Paunovic,3,SPS,,,30-May-2014
70988,Prokuplje,1,0,1,Ljubisa Djurkovic,3,SPS,,,18-Sep-2012
70988,Prokuplje,1,0,0,Boban Lepojevic,2,DS,,,25-May-2012
70988,Prokuplje,1,,,Milan Arsovic,2,DS,,,28-May-2008
71005,Razanj,1,1,0,Dobrica Stanojevic,15,NS,15,NS,15-May-2012
71005,Razanj,1,1,0,Dobrica Stanojevic,15,NS,15,NS,20-Jun-2008
71013,Raca,1,0,1,Dragan Stevanovic,1,SNS,4,URS,23-Aug-2015
71013,Raca,1,1,0,Dragana Zivanovic,4,URS,15,NS,8-Dec-2012
71013,Raca,1,,,Dragana Zivanovic,15,NS,,,3-Jul-2008
71021,Raska,0,0,1,Ignjat Rakitic,1,SNS,3,SPS,12-Jun-2014
71021,Raska,1,0,0,Jovan Corbic,3,SPS,3,SPS,11-Sep-2012
71021,Raska,1,1,0,Dragisa Ilic,3,SPS,3,SPS,11-May-2008
71030,Rekovac,1,0,1,Predrag Djordjevic,3,SPS,,,23-May-2012
71030,Rekovac,1,,,Dragan Prodanovic,2,DS,,,25-May-2008
71048,Jagodina,1,0,0,Ratko Stevanovic,13,JS,,,28-May-2012
71048,Jagodina,1,1,0,Dragan Markovic ,13,JS,,,1-Jun-2008
71048,Jagodina,1,0,1,Dragan Markovic ,13,JS,,,1-Mar-2004
71064,Svrljig,1,0,0,Jelena Trifunovic,23,USS,23,USS,18-Apr-2014
71064,Svrljig,1,1,0,Milija Miletic,23,USS,23,USS,28-Jun-2012
71064,Svrljig,1,0,,Milija Miletic,23,USS,,,10-Jul-2008
71072,Sjenica,1,0,1,Hazbo Mujovic,32,SDA,27,SDzP,20-Jun-2012
71072,Sjenica,1,,,Muriz Turkovic,27,SDzp,,,16-May-2008
71099,Smederevo,1,0,1,Jasna Avramovic,1,SNS,,,10-Jun-2012
71099,Smederevo,1,0,1,Predrag Umicevic,2,DS,,,4-May-2008
71102,Smederevska Palanka,1,0,0,Radoslav Milojicic,2,DS,2,DS,20-May-2012
71102,Smederevska Palanka,1,,,Zivko Petrovic,2,DS,2,DS,21-May-2008
71129,Sokobanja,1,1,0,Dimitrije Lukic,2,DS,,,8-Jun-2012
71129,Sokobanja,1,0,,Dimitrije Lukic,2,DS,,,30-Jun-2008
71137,Surdulica,1,0,0,Aleksandra Popovic,3,SPS,3,SPS,29-May-2014
71137,Surdulica,1,1,0,Novica Toncev,3,SPS,3,SPS,6-Jun-2012
71137,Surdulica,1,,,Novica Toncev,3,SPS,,,28-May-2008
71145,Uzice,1,0,0,Tihomir Petkovic,1,SNS,,,15-Aug-2014
71145,Uzice,1,0,1,Sasa Milosevic,1,SNS,,,20-Oct-2012
71145,Uzice,1,0,1,Jovan Markovic,2,DS,,,2-Jun-2008
71153,Topola,1,1,0,Dragan Jovanovic,15,NS,15,NS,31-May-2012
71153,Topola,1,,,Dragan Jovanovic,15,NS,,,1-Jun-2008
71161,Trgoviste,1,0,1,Nenad Krstic,1,SNS,3,SPS,18-Mar-2013
71161,Trgoviste,1,0,1,Radoslav Jordanovic,3,SPS,4,URS,10-Jun-2012
71161,Trgoviste,1,,,Darko Tomic,4,URS,,,30-May-2008
71170,Trstenik,0,1,1,Miroslav Aleksic,16,NPS,4,URS,21-Sep-2014
71170,Trstenik,1,0,1,Miroslav Aleksic,4,URS,2,DS,9-Jul-2012
71170,Trstenik,1,,,Stevan Djakovic,2,DS,,,3-Jun-2008
71188,Tutin,1,1,0,Semsudin Kucevic,32,SDA,,,20-May-2012
71188,Tutin,1,0,0,Bajro Gegic,32,SDA,,,1-Jun-2008
71196,Cicevac,0,1,1,Zlatan Krkic,19,SDS,,,26-Oct-2014
71196,Cicevac,1,1,0,Zlatan Krkic,2,DS,,,12-May-2012
71196,Cicevac,1,1,0,Zlatan Krkic,2,DS,,,2-Jun-2008
71200,Cuprija,1,0,1,Ninoslav Eric,1,SNS,38,GGR,22-Mar-2013
71200,Cuprija,1,0,1,Radosav Djordjevic,38,GGR,3,SPS,7-Dec-2012
71200,Cuprija,1,0,1,Slobodan Lazic,3,SPS,13,JS,7-Jul-2012
71200,Cuprija,1,,,Borivoje Kalaba,13,JS,,,4-Jun-2008
71218,Ub,1,0,1,Darko Glisic,1,SNS,,,25-May-2012
71218,Ub,1,0,1,Vladislav Krsmanovic,2,DS,,,25-Jun-2008
71226,Crna Trava,1,1,0,Slavoljub Blagojevic,7,DSS,7,DSS,4-Jun-2012
71226,Crna Trava,1,1,0,Slavoljub Blagojevic,7,DSS,7,DSS,7-Jul-2008
71234,Cajetina,0,1,1,Milan Stamatovic,21,SNP,7,DSS,22-Sep-2014
71234,Cajetina,1,1,0,Milan Stamatovic,7,DSS,7,DSS,14-May-2012
71234,Cajetina,1,1,,Milan Stamatovic,7,DSS,,,1-Jul-2008
71242,Cacak,1,0,0,Vojislav Ilic,15,NS,15,NS,22-Jul-2012
71242,Cacak,1,,,Velimir Stanojevic,15,NS,,,15-May-2008
71269,Sabac,1,0,0,Nebojsa Zelenovic,43,ZzS,,,16-Jun-2014
71269,Sabac,0,1,1,Milos Milosevic,43,ZzS,,,1-Apr-2014
71269,Sabac,1,1,0,Milos Milosevic,2,DS,,,6-Aug-2012
71269,Sabac,1,1,0,Milos Milosevic,2,DS,,,5-Jun-2008
71277,Lapovo,1,0,1,Nebojsa Tasic,1,SNS,34,GGZZL,11-Jun-2015
71277,Lapovo,1,0,1,Jasna Jovanovic,34,GGZZL,2,DS,21-Jul-2014
71277,Lapovo,1,0,1,Nebojsa Miletic,2,DS,34,GGZZL,8-Jun-2012
71277,Lapovo,1,1,0,Dragan Zlatkovic,25,SPO,,,6-Jun-2008
71285,Nis-Niska Banja,0,1,1,Zoran VIdanovic,21,SNP,4,URS,1-Dec-2015
71285,Nis-Niska Banja,0,1,1,Zoran VIdanovic,4,URS,7,DSS,16-Nov-2012
71285,Nis-Niska Banja,1,1,0,Zoran VIdanovic,7,DSS,7,DSS,6-Jun-2012
71285,Nis-Niska Banja,1,,,Zoran VIdanovic,7,DSS,,,4-Jun-2008
71293,Beograd-Surcin,,,,,,,,,
71307,Nis-Pantelej,,,,,,,,,
71315,Nis-Crveni Krst,1,0,0,Miroslav Milutinovic,1,SNS,1,SNS,14-May-2014
