Date,Event
5/6/2012,National and Local Elections
7/27/2012,National Ruling Coalition and Government Formed
10/23/2012,SNS and SPS Agree to Match National Coalition in Municipal Assemblies
7/30/2013,URS Kicked Out of National Ruling Coalition
8/25/2013,Leader of URS Asked to Rejoin Government
2/2/2014,SDS Break Away from DS
3/24/2014,National Elections 
4/27/2014,National Ruling Coalition and Government Formed
6/2/2014,URS Dissolves
4/24/2016,National and Local Elections
,
,
,
,
,
,
,
