old,mun_id,mun,region_id,region,area_id,area
RS123,80136,Žabalj,RS12,Region Vojvodine,RS123,Južnoba?ka oblast
RS123,80390,Srbobran,RS12,Region Vojvodine,RS123,Južnoba?ka oblast
RS123,80411,Sremski Karlovci,RS12,Region Vojvodine,RS123,Južnoba?ka oblast
RS123,80446,Temerin,RS12,Region Vojvodine,RS123,Južnoba?ka oblast
RS123,80454,Titel,RS12,Region Vojvodine,RS123,Južnoba?ka oblast
RS124,80209,Kikinda-grad,RS12,Region Vojvodine,RS124,Severnobanatska oblast
RS124,80012,Ada,RS12,Region Vojvodine,RS124,Severnobanatska oblast
RS124,80195,Kanjiža,RS12,Region Vojvodine,RS124,Severnobanatska oblast
RS124,80276,Novi Kneževac,RS12,Region Vojvodine,RS124,Severnobanatska oblast
RS124,80365,Senta,RS12,Region Vojvodine,RS124,Severnobanatska oblast
RS124,80489,?oka,RS12,Region Vojvodine,RS124,Severnobanatska oblast
RS125,80438,Subotica-grad,RS12,Region Vojvodine,RS125,Severnoba?ka oblast
RS125,80071,Ba?ka Topola,RS12,Region Vojvodine,RS125,Severnoba?ka oblast
RS125,80241,Mali I?oš,RS12,Region Vojvodine,RS125,Severnoba?ka oblast
RS126,80152,Zrenjanin-grad,RS12,Region Vojvodine,RS126,Srednjobanatska oblast
RS126,80144,Žitište,RS12,Region Vojvodine,RS126,Srednjobanatska oblast
RS126,80250,Nova Crnja,RS12,Region Vojvodine,RS126,Srednjobanatska oblast
RS126,80268,Novi Be?ej,RS12,Region Vojvodine,RS126,Srednjobanatska oblast
RS126,80373,Se?anj,RS12,Region Vojvodine,RS126,Srednjobanatska oblast
RS127,80403,Sremska Mitrovica-grad,RS12,Region Vojvodine,RS127,Sremska oblast
RS127,80179,In?ija,RS12,Region Vojvodine,RS127,Sremska oblast
RS127,80187,Irig,RS12,Region Vojvodine,RS127,Sremska oblast
RS127,80322,Pe?inci,RS12,Region Vojvodine,RS127,Sremska oblast
RS127,80357,Ruma,RS12,Region Vojvodine,RS127,Sremska oblast
RS127,80420,Stara Pazova,RS12,Region Vojvodine,RS127,Sremska oblast
RS127,80497,Šid,RS12,Region Vojvodine,RS127,Sremska oblast
RS211,79065,Grad Užice,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,71145,Užice,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,71366,Sevojno,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,70041,Arilje,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,70068,Bajina Bašta,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,70629,Kosjeri?,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,70866,Nova Varoš,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,70955,Požega,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,70971,Priboj,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,70980,Prijepolje,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,71072,Sjenica,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,71234,?ajetina,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS212,70360,Valjevo-grad,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS212,70700,Lajkovac,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS212,70769,Ljig,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS212,70831,Mionica,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS212,70882,Ose?ina,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS212,71218,Ub,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS213,71269,Šabac-grad,RS21,Region Šumadije i Zapadne Srbije,RS213,Ma?vanska oblast
RS213,70289,Bogati?,RS21,Region Šumadije i Zapadne Srbije,RS213,Ma?vanska oblast
RS213,70408,Vladimirci,RS21,Region Šumadije i Zapadne Srbije,RS213,Ma?vanska oblast
RS213,70637,Koceljeva,RS21,Region Šumadije i Zapadne Srbije,RS213,Ma?vanska oblast
RS213,70661,Krupanj,RS21,Region Šumadije i Zapadne Srbije,RS213,Ma?vanska oblast
RS213,70734,Loznica-grad,RS21,Region Šumadije i Zapadne Srbije,RS213,Ma?vanska oblast
RS213,70777,Ljubovija,RS21,Region Šumadije i Zapadne Srbije,RS213,Ma?vanska oblast
RS213,70793,Mali Zvornik,RS21,Region Šumadije i Zapadne Srbije,RS213,Ma?vanska oblast
RS214,71242,?a?ak-grad,RS21,Region Šumadije i Zapadne Srbije,RS214,Moravi?ka oblast
RS214,70483,Gornji Milanovac,RS21,Region Šumadije i Zapadne Srbije,RS214,Moravi?ka oblast
RS214,70564,Ivanjica,RS21,Region Šumadije i Zapadne Srbije,RS214,Moravi?ka oblast
RS214,70742,Lu?ani,RS21,Region Šumadije i Zapadne Srbije,RS214,Moravi?ka oblast
RS215,71048,Jagodina-grad,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast
RS215,70491,Despotovac,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast
