,mun_id,place_id,zip_id
425,80314,803138,26000
426,80314,803146,26232
429,80349,803332,26367
430,80349,803359,26366
431,80349,803367,26365
433,80349,803383,26363
434,80349,803391,26368
436,80349,803413,26364
438,80349,803430,26373
439,80349,803448,26360
440,80349,803456,26371
441,80349,803464,26373
443,80047,800180,25260
444,80047,800198,25262
445,80047,800201,25263
446,80047,800210,25265
447,80047,800228,25264
449,80233,802425,25225
450,80233,802433,25230
451,80233,802441,25232
452,80233,802450,25224
453,80233,802468,25233
454,80233,802476,25223
455,80233,802484,25220
457,80306,802948,25242
458,80306,802956,25252
459,80306,802964,25245
460,80306,802972,25254
461,80306,802999,25255
462,80306,803006,25234
463,80306,803014,25250
464,80306,803022,25253
465,80306,803049,25244
467,80381,803855,25212
468,80381,803863,25275
469,80381,803871,25272
470,80381,803880,25270
471,80381,803898,25282
472,80381,803901,25243
473,80381,803910,25221
474,80381,803928,25274
475,80381,803936,25283
476,80381,803944,25280
477,80381,803952,25211
478,80381,803979,25000
479,80381,803987,25284
480,80381,803995,25240
481,80381,804002,25222
482,80381,804029,25210
484,80055,800236,21420
485,80055,800244,21429
486,80055,800252,21427
487,80055,800279,21426
488,80055,800287,21428
489,80055,800295,21425
491,80063,800309,21400
493,80063,800325,21432
494,80063,800333,21468
495,80063,800341,21421
496,80063,800350,21422
497,80063,800368,21314
498,80063,800376,21431
499,80063,800384,21423
500,80063,800392,21434
501,80063,800406,21469
502,80063,800414,21433
503,80063,800422,21424
504,80063,800449,21413
506,80080,800694,21470
507,80080,800708,21412
508,80080,800716,21472
509,80080,800724,21473
511,80101,800899,21312
512,80101,800902,21300
514,80101,800937,21315
515,80101,800945,21299
517,80101,800961,21313
518,80101,800970,21311
520,80110,800988,21217
521,80110,800996,21226
522,80110,801003,21220
523,80110,801011,21227
524,80110,801020,21225
526,80462,804754,21465
527,80462,804827,21460
528,80462,804762,21213
530,80462,804789,21466
531,80462,804797,21471
532,80462,804819,21467
534,80136,801305,21237
535,80136,801313,21239
536,80136,801321,21230
537,80136,801330,21238
539,80284,802743,21411
540,80284,802751,21242
541,80284,802760,21209
542,80284,802778,21203
543,80284,802786,21241
544,80284,802794,21211
545,80284,802808,21243
546,80284,802816,21207
547,80284,802824,21000
548,80284,802832,21131
549,80284,802859,21201
550,80284,802867,21204
552,80284,802875,21212
553,80284,802883,21410
554,80284,802891,21233
556,80390,804037,21216
557,80390,804045,21480
558,80390,804053,21215
560,80411,804355,21205
562,80446,804665,21234
563,80446,804673,21214
564,80446,804681,21235
566,80454,804690,21246
567,80454,804703,21247
568,80454,804711,21248
569,80454,804720,21245
570,80454,804738,21240
571,80454,804746,21244
573,80179,801739,22324
574,80179,801747,22320
576,80179,801763,22325
577,80179,801771,22321
578,80179,801780,22327
579,80179,801798,22322
580,80179,801801,22323
582,80179,801828,22329
583,80179,801836,22326
586,80187,801852,22408
589,80187,801895,22406
590,80187,801909,22409
591,80187,801917,22328
592,80187,801925,22328
598,80322,803154,22418
600,80322,803189,22441
602,80322,803219,22443
603,80322,803227,22419
604,80322,803235,22417
605,80322,803243,22416
606,80322,803251,22410
607,80322,803260,22428
608,80322,803278,22442
609,80322,803286,22440
610,80322,803294,22413
611,80322,803308,22414
612,80322,803316,22310
614,80357,803472,22421
616,80357,803502,22429
617,80357,803529,22423
618,80357,803537,22412
621,80357,803561,22424
622,80357,803570,22411
624,80357,803596,22422
626,80357,803618,22420
627,80357,803626,22404
628,80357,803634,22400
629,80357,803642,22405
630,80357,803669,22427
633,80403,804070,22212
634,80403,804088,22217
635,80403,804096,22211
636,80403,804100,22213
637,80403,804118,22232
638,80403,804126,22201
639,80403,804134,22201
640,80403,804142,22426
641,80403,804169,22223
642,80403,804177,22221
643,80403,804185,22207
644,80403,804193,22208
645,80403,804207,22222
646,80403,804215,22202
647,80403,804223,22203
648,80403,804231,22205
650,80403,804258,22204
651,80403,804266,22000
652,80403,804274,22247
654,80403,804304,22231
655,80403,804312,22425
659,80420,804363,22306
660,80420,804371,22313
661,80420,804380,22308
662,80420,804398,22314
663,80420,804401,22330
664,80420,804410,22304
665,80420,804428,22300
666,80420,804436,22305
667,80420,804444,22307
669,80497,804916,22244
670,80497,804924,22251
671,80497,804932,22225
672,80497,804959,22242
673,80497,804967,22254
674,80497,804975,22253
675,80497,804983,22241
676,80497,804991,22246
677,80497,805009,22258
678,80497,805017,22230
679,80497,805025,22250
680,80497,805033,22248
681,80497,805041,22224
682,80497,805050,22255
683,80497,805068,22256
684,80497,805076,22245
685,80497,805084,22257
686,80497,805092,22243
687,80497,805106,22240
689,70289,705632,15358
690,70289,705659,15362
692,70289,705675,15350
694,70289,705691,15356
695,70289,705705,15359
696,70289,705713,15357
702,70289,705772,15355
707,70408,709808,15225
711,70408,709859,15214
728,70408,710032,15215
740,70637,718467,15227
741,70637,718475,15226
744,70637,718505,15222
745,70637,718513,15220
748,70637,718548,15221
753,70661,720330,15313
759,70661,720402,15312
763,70661,720453,15314
776,70734,725196,15316
779,70734,725226,15309
794,70734,725382,15311
795,70734,725404,15315
796,70734,725412,15308
804,70734,725501,15302
806,70734,725528,15307
808,70734,725544,15341
809,70734,725552,15300
822,70734,725692,15234
825,70734,725722,15303
840,70777,726575,15323
841,70777,726583,15324
845,70777,726621,15320
854,70777,726737,15319
862,70793,726958,15322
864,70793,726974,15317
866,70793,727008,15318
867,70793,727016,15321
876,71269,746118,15232
882,71269,746185,15235
883,71269,746193,15212
887,71269,746231,15352
892,71269,746282,15305
893,71269,746304,15353
896,71269,746347,15211
897,71269,746355,15233
904,71269,746428,15213
906,71269,746444,15304
910,71269,746495,15306
912,71269,746517,15310
919,71269,746584,15224
921,71269,746606,15000
923,71269,746622,15354
