,date,pres_name,mun,party_id,mun_id,name_abr,name_full,in_gov11,ingov12,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,nat_party
32,2011-01-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
33,2011-02-28,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
34,2011-03-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
35,2011-04-30,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
36,2011-05-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
37,2011-06-30,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
38,2011-07-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
39,2011-08-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
40,2011-09-30,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
41,2011-10-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
42,2011-11-30,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
43,2011-12-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
44,2012-01-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
45,2012-02-29,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
46,2012-03-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
