,date,pres_name,mun,party_id,mun_id,name_abr,name_full,in_gov11,ingov12,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,nat_party
0,2008-01-01,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
1,2009-01-01,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
2,2010-01-01,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
3,2011-01-01,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
4,2012-01-01,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
5,2008-01-01,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
6,2009-01-01,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
7,2010-01-01,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
8,2011-01-01,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
9,2012-01-01,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
10,2013-01-01,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
11,2014-01-01,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
12,2015-01-01,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
13,2016-01-01,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
14,2008-01-01,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
15,2009-01-01,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
16,2010-01-01,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
17,2011-01-01,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
18,2012-01-01,Stojan Nikolic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
19,2013-01-01,Stojan Nikolic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
20,2014-01-01,Stojan Nikolic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
21,2015-01-01,Stojan Nikolic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
22,2016-01-01,Stojan Nikolic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
23,2008-01-01,Bojan Milic,Beograd-Rakovica,2,70211,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
24,2009-01-01,Bojan Milic,Beograd-Rakovica,2,70211,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
25,2010-01-01,Bojan Milic,Beograd-Rakovica,2,70211,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
26,2011-01-01,Bojan Milic,Beograd-Rakovica,2,70211,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
27,2012-01-01,Bojan Milic,Beograd-Rakovica,2,70211,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
28,2008-01-01,Nebojsa Milosavljevic,Blace,2,70262,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
29,2009-01-01,Nebojsa Milosavljevic,Blace,2,70262,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
30,2010-01-01,Nebojsa Milosavljevic,Blace,2,70262,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
31,2011-01-01,Nebojsa Milosavljevic,Blace,2,70262,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
