old,mun_id,mun,region_id,region,area_id,area
RS211,70980,Prijepolje,RS21,Region Sumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,71072,Sjenica,RS21,Region Sumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS211,71234,Cajetina,RS21,Region Sumadije i Zapadne Srbije,RS211,Zlatiborska oblast
RS212,70360,Valjevo-grad,RS21,Region Sumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS212,70700,Lajkovac,RS21,Region Sumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS212,70769,Ljig,RS21,Region Sumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS212,70831,Mionica,RS21,Region Sumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS212,70882,Osecina,RS21,Region Sumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS212,71218,Ub,RS21,Region Sumadije i Zapadne Srbije,RS212,Kolubarska oblast
RS213,71269,Sabac-grad,RS21,Region Sumadije i Zapadne Srbije,RS213,Macvanska oblast
RS213,70289,Bogatic,RS21,Region Sumadije i Zapadne Srbije,RS213,Macvanska oblast
RS213,70408,Vladimirci,RS21,Region Sumadije i Zapadne Srbije,RS213,Macvanska oblast
RS213,70637,Koceljeva,RS21,Region Sumadije i Zapadne Srbije,RS213,Macvanska oblast
RS213,70661,Krupanj,RS21,Region Sumadije i Zapadne Srbije,RS213,Macvanska oblast
RS213,70734,Loznica-grad,RS21,Region Sumadije i Zapadne Srbije,RS213,Macvanska oblast
RS213,70777,Ljubovija,RS21,Region Sumadije i Zapadne Srbije,RS213,Macvanska oblast
RS213,70793,Mali Zvornik,RS21,Region Sumadije i Zapadne Srbije,RS213,Macvanska oblast
RS214,71242,Cacak-grad,RS21,Region Sumadije i Zapadne Srbije,RS214,Moravicka oblast
RS214,70483,Gornji Milanovac,RS21,Region Sumadije i Zapadne Srbije,RS214,Moravicka oblast
RS214,70564,Ivanjica,RS21,Region Sumadije i Zapadne Srbije,RS214,Moravicka oblast
RS214,70742,Lucani,RS21,Region Sumadije i Zapadne Srbije,RS214,Moravicka oblast
RS215,71048,Jagodina-grad,RS21,Region Sumadije i Zapadne Srbije,RS215,Pomoravska oblast
RS215,70491,Despotovac,RS21,Region Sumadije i Zapadne Srbije,RS215,Pomoravska oblast
RS215,70904,Paracin,RS21,Region Sumadije i Zapadne Srbije,RS215,Pomoravska oblast
RS215,71030,Rekovac,RS21,Region Sumadije i Zapadne Srbije,RS215,Pomoravska oblast
RS215,71056,Svilajnac,RS21,Region Sumadije i Zapadne Srbije,RS215,Pomoravska oblast
RS215,71200,Cuprija,RS21,Region Sumadije i Zapadne Srbije,RS215,Pomoravska oblast
RS216,70670,Krusevac-grad,RS21,Region Sumadije i Zapadne Srbije,RS216,Rasinska oblast
RS216,70017,Aleksandrovac,RS21,Region Sumadije i Zapadne Srbije,RS216,Rasinska oblast
RS216,70343,Brus,RS21,Region Sumadije i Zapadne Srbije,RS216,Rasinska oblast
RS216,70378,Varvarin,RS21,Region Sumadije i Zapadne Srbije,RS216,Rasinska oblast
RS216,71170,Trstenik,RS21,Region Sumadije i Zapadne Srbije,RS216,Rasinska oblast
RS216,71196,Cicevac,RS21,Region Sumadije i Zapadne Srbije,RS216,Rasinska oblast
RS217,70653,Kraljevo-grad,RS21,Region Sumadije i Zapadne Srbije,RS217,Raska oblast
RS217,70459,Vrnjacka Banja,RS21,Region Sumadije i Zapadne Srbije,RS217,Raska oblast
RS217,70874,Novi Pazar-grad,RS21,Region Sumadije i Zapadne Srbije,RS217,Raska oblast
RS217,71021,Raska,RS21,Region Sumadije i Zapadne Srbije,RS217,Raska oblast
RS217,71188,Tutin,RS21,Region Sumadije i Zapadne Srbije,RS217,Raska oblast
RS218,70645,Kragujevac-grad,RS21,Region Sumadije i Zapadne Srbije,RS218,Sumadijska oblast
RS218,70033,Arandjelovac,RS21,Region Sumadije i Zapadne Srbije,RS218,Sumadijska oblast
RS218,70076,Batocina,RS21,Region Sumadije i Zapadne Srbije,RS218,Sumadijska oblast
RS218,70599,Knic,RS21,Region Sumadije i Zapadne Srbije,RS218,Sumadijska oblast
RS218,71277,Lapovo,RS21,Region Sumadije i Zapadne Srbije,RS218,Sumadijska oblast
RS218,71013,Raca,RS21,Region Sumadije i Zapadne Srbije,RS218,Sumadijska oblast
RS218,71153,Topola,RS21,Region Sumadije i Zapadne Srbije,RS218,Sumadijska oblast
RS221,70327,Bor,RS22,Region Juzne i Istocne Srbije,RS221,Borska oblast
RS221,70572,Kladovo,RS22,Region Juzne i Istocne Srbije,RS221,Borska oblast
RS221,70785,Majdanpek,RS22,Region Juzne i Istocne Srbije,RS221,Borska oblast
RS221,70840,Negotin,RS22,Region Juzne i Istocne Srbije,RS221,Borska oblast
RS222,79049,Grad Pozarevac,RS22,Region Juzne i Istocne Srbije,RS222,Branicevska oblast
RS222,70947,Pozarevac,RS22,Region Juzne i Istocne Srbije,RS222,Branicevska oblast
RS222,71340,Kostolac,RS22,Region Juzne i Istocne Srbije,RS222,Branicevska oblast
RS222,70394,Veliko Gradiste,RS22,Region Juzne i Istocne Srbije,RS222,Branicevska oblast
RS222,70475,Golubac,RS22,Region Juzne i Istocne Srbije,RS222,Branicevska oblast
RS222,70521,Zabari,RS22,Region Juzne i Istocne Srbije,RS222,Branicevska oblast
RS222,70530,Zagubica,RS22,Region Juzne i Istocne Srbije,RS222,Branicevska oblast
RS222,70696,Kucevo,RS22,Region Juzne i Istocne Srbije,RS222,Branicevska oblast
RS222,70807,Malo Crnice,RS22,Region Juzne i Istocne Srbije,RS222,Branicevska oblast
RS222,70912,Petrovac na Mlavi,RS22,Region Juzne i Istocne Srbije,RS222,Branicevska oblast
RS223,70556,Zajecar-grad,RS22,Region Juzne i Istocne Srbije,RS223,Zajecarska oblast
RS223,70319,Boljevac,RS22,Region Juzne i Istocne Srbije,RS223,Zajecarska oblast
RS223,70602,Knjazevac,RS22,Region Juzne i Istocne Srbije,RS223,Zajecarska oblast
RS223,71129,Sokobanja,RS22,Region Juzne i Istocne Srbije,RS223,Zajecarska oblast
RS224,70726,Leskovac-grad,RS22,Region Juzne i Istocne Srbije,RS224,Jablanicka oblast
RS224,70297,Bojnik,RS22,Region Juzne i Istocne Srbije,RS224,Jablanicka oblast
RS224,70424,Vlasotince,RS22,Region Juzne i Istocne Srbije,RS224,Jablanicka oblast
RS224,70718,Lebane,RS22,Region Juzne i Istocne Srbije,RS224,Jablanicka oblast
RS224,70815,Medvedja,RS22,Region Juzne i Istocne Srbije,RS224,Jablanicka oblast
RS224,71226,Crna Trava,RS22,Region Juzne i Istocne Srbije,RS224,Jablanicka oblast
RS225,79022,Grad Nis ,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
RS225,71331,Nis-Medijana,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
RS225,71285,Nis-Niska Banja,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
RS225,71323,Nis-Palilula,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
RS225,71307,Nis-Pantelej,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
RS225,71315,Nis-Crveni krst,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
RS225,70025,Aleksinac,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
RS225,70467,Gadzin Han,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
