mun_id,year,average_wage
80497,2012,345.3
80497,2013,399.44
80497,2014,372.92
79065,2010,327.46
79065,2011,363.86
79065,2012,391.89
79065,2013,425.56
79065,2014,437.64
70041,2010,218.86
70041,2011,252.59
70041,2012,240.21
70041,2013,280.37
70041,2014,280.53
70068,2010,304.6
70068,2011,318.39
70068,2012,355.12
70068,2013,367.54
70068,2014,363.56
70629,2010,431.03
70629,2011,464.35
70629,2012,463.82
70629,2013,516.62
70629,2014,473.88
70866,2010,266.34
70866,2011,289.12
70866,2012,325.09
70866,2013,354.25
70866,2014,353.04
70955,2010,264.07
70955,2011,297.13
70955,2012,327.16
70955,2013,344.22
70955,2014,339.74
70971,2010,249.9
70971,2011,294.46
70971,2012,318.78
70971,2013,260.51
70971,2014,280.92
70980,2010,245.57
70980,2011,275.12
70980,2012,306.43
70980,2013,320.47
70980,2014,322.84
71072,2010,283.59
71072,2011,311.51
71072,2012,338.65
71072,2013,365.23
71072,2014,372.01
71234,2010,253.32
71234,2011,277.39
71234,2012,318.93
71234,2013,331.49
71234,2014,330.45
70360,2010,288.21
70360,2011,320.1
70360,2012,345.1
70360,2013,368.74
70360,2014,379.05
70700,2010,453.45
70700,2011,536.13
70700,2012,602.59
70700,2013,623.13
70700,2014,626.83
70769,2010,249.59
70769,2011,240.93
70769,2012,264.73
70769,2013,269.29
70769,2014,286.31
70831,2010,259.78
70831,2011,272.92
70831,2012,292.62
70831,2013,312.8
70831,2014,331.26
70882,2010,243.77
70882,2011,273.63
70882,2012,305.79
70882,2013,330.51
70882,2014,332.11
71218,2010,258.93
71218,2011,286.12
71218,2012,325.4
71218,2013,331.04
71218,2014,336.44
71269,2010,324.22
71269,2011,366.35
71269,2012,377.72
71269,2013,404.44
71269,2014,412.3
70289,2010,244.58
70289,2011,274.04
70289,2012,305.96
70289,2013,333.3
70289,2014,334.56
70408,2010,226.33
70408,2011,265.99
70408,2012,309.34
70408,2013,304.01
70408,2014,288.19
70637,2010,273.12
70637,2011,299.43
70637,2012,325.16
70637,2013,383.91
70637,2014,397.1
70661,2010,238.82
70661,2011,250.65
70661,2012,287.75
70661,2013,296.27
70661,2014,307.49
70734,2010,252.15
70734,2011,288.79
70734,2012,315.05
70734,2013,322.16
70734,2014,332.07
70777,2010,285.35
70777,2011,312.92
70777,2012,350.88
70777,2013,417.38
70777,2014,379.49
70793,2010,271.0
70793,2011,300.52
70793,2012,319.39
70793,2013,348.77
70793,2014,359.82
71242,2010,295.23
71242,2011,329.79
71242,2012,356.13
71242,2013,379.89
71242,2014,388.33
70483,2010,286.79
70483,2011,315.6
70483,2012,343.52
70483,2013,389.75
