,mun_id,l6_name_english,year,income_value,income_share,change_income_abs,change_income_rel
93,70017,Taxes on property,2011,205580.0,0.0484160796588,,
94,70017,Taxes on property,2012,213760.0,0.0383701999106,8180.0,0.0397898628271
95,70017,Taxes on property,2013,315420.0,0.0547396992111,101660.0,0.47558008982
96,70017,Transfers between budget users at the same level,2011,0.0,0.0,,
97,70017,Transfers between budget users at the same level,2012,0.0,0.0,0.0,
98,70017,Transfers between budget users at the same level,2013,0.0,0.0,0.0,
99,70017,Transfers from other level of government,2011,1582200.0,0.372623412959,,
100,70017,Transfers from other level of government,2012,2362940.0,0.42415082418,780740.0,0.493452155227
101,70017,Transfers from other level of government,2013,2648800.0,0.459687132301,285860.0,0.120976410743
102,70017,Voluntary transfers other than grants,2011,144420.0,0.0340123077358,,
103,70017,Voluntary transfers other than grants,2012,10460.0,0.00187758369697,-133960.0,-0.927572358399
104,70017,Voluntary transfers other than grants,2013,29420.0,0.0051057065208,18960.0,1.81261950287
105,70017,proceeds from the real estate sales,2011,0.0,0.0,,
106,70017,proceeds from the real estate sales,2012,0.0,0.0,0.0,
107,70017,proceeds from the real estate sales,2013,10.0,1.73545428987e-06,10.0,inf
108,70025, domestic borrowing,2011,49270.0,0.00623636151911,,
109,70025, domestic borrowing,2012,262040.0,0.0227293426585,212770.0,4.31844936067
110,70025, domestic borrowing,2013,0.0,0.0,-262040.0,-1.0
111,70025, foreign borrowing,2011,0.0,0.0,,
112,70025, foreign borrowing,2012,900.0,7.80659761587e-05,900.0,inf
113,70025, foreign borrowing,2013,0.0,0.0,-900.0,-1.0
114,70025, sale forest and water,2011,0.0,0.0,,
115,70025, sale forest and water,2012,0.0,0.0,0.0,
116,70025, sale forest and water,2013,0.0,0.0,0.0,
117,70025, sale of domestic financial assets,2011,2610.0,0.000330361346963,,
118,70025, sale of domestic financial assets,2012,0.0,0.0,-2610.0,-1.0
119,70025, sale of domestic financial assets,2013,0.0,0.0,0.0,
120,70025, sale of foreign financial assets,2011,0.0,0.0,,
121,70025, sale of foreign financial assets,2012,0.0,0.0,0.0,
122,70025, sale of foreign financial assets,2013,0.0,0.0,0.0,
123,70025, sale of goods for resale,2011,0.0,0.0,,
124,70025, sale of goods for resale,2012,0.0,0.0,0.0,
125,70025, sale of goods for resale,2013,0.0,0.0,0.0,
126,70025, sale of inventories,2011,0.0,0.0,,
127,70025, sale of inventories,2012,0.0,0.0,0.0,
128,70025, sale of inventories,2013,0.0,0.0,0.0,
129,70025, sale of land,2011,0.0,0.0,,
130,70025, sale of land,2012,0.0,0.0,0.0,
131,70025, sale of land,2013,0.0,0.0,0.0,
132,70025, sale of other fixed assets ,2011,0.0,0.0,,
133,70025, sale of other fixed assets ,2012,0.0,0.0,0.0,
